"iteration","temp","objective_func_val","prop_worst_move_A","prob_worst_move_B","sweep_i","inputsKey","rewardRatio","niter","numSurveys","detectionProb","step","initTemp"
100000,6.35230744670482e-139,0.383702224121718,0,1,1,"cc_NGA_year_1",1,1e+05,250,0.01,0.0032,10
100000,6.35230744670482e-138,0.736535803797256,0,1,18,"cc_NGA_year_1",1,1e+05,250,0.1,0.0032,100
100000,6.35230744670482e-139,0.827575991572,0,1,33,"cc_NGA_year_1",1,1e+05,250,0.25,0.0032,10
100000,3.53852768834313e-44,0.876659084182133,0,1,52,"cc_NGA_year_1",1,1e+05,250,0.5,0.001,1
100000,6.35230744670482e-138,0.90207419027957,0,1,66,"cc_NGA_year_1",1,1e+05,250,0.85,0.0032,100
100000,6.35230744670482e-140,0.500497786482075,0,1,80,"cc_NGA_year_1",1,1e+05,500,0.01,0.0032,1
100000,6.35230744670482e-140,0.797926855357395,0,1,96,"cc_NGA_year_1",1,1e+05,500,0.1,0.0032,1
100000,6.35230744670482e-140,0.867189992671298,0,1,112,"cc_NGA_year_1",1,1e+05,500,0.25,0.0032,1
100000,6.35230744670482e-139,0.899773407135436,0,1,129,"cc_NGA_year_1",1,1e+05,500,0.5,0.0032,10
100000,6.35230744670482e-139,0.918366384428295,0,1,145,"cc_NGA_year_1",1,1e+05,500,0.85,0.0032,10
100000,6.35230744670482e-140,0.556280517638536,0,1,160,"cc_NGA_year_1",1,1e+05,750,0.01,0.0032,1
100000,6.35230744670482e-139,0.82453289748249,0,1,177,"cc_NGA_year_1",1,1e+05,750,0.1,0.0032,10
100000,6.35230744670482e-138,0.882362816913731,0,1,194,"cc_NGA_year_1",1,1e+05,750,0.25,0.0032,100
100000,6.35230744670482e-137,0.908192201108699,0,1,211,"cc_NGA_year_1",1,1e+05,750,0.5,0.0032,1000
100000,6.35230744670482e-139,0.922786569674746,0,1,225,"cc_NGA_year_1",1,1e+05,750,0.85,0.0032,10
100000,6.35230744670482e-139,0.592233731634539,0,1,241,"cc_NGA_year_1",1,1e+05,1000,0.01,0.0032,10
100000,6.35230744670482e-138,0.841568464313758,0,1,258,"cc_NGA_year_1",1,1e+05,1000,0.1,0.0032,100
100000,6.35230744670482e-139,0.890344449196201,0,1,273,"cc_NGA_year_1",1,1e+05,1000,0.25,0.0032,10
100000,6.35230744670482e-138,0.912410914795347,0,1,290,"cc_NGA_year_1",1,1e+05,1000,0.5,0.0032,100
100000,6.35230744670482e-138,0.92621366940945,0,1,306,"cc_NGA_year_1",1,1e+05,1000,0.85,0.0032,100
