"year","nPos","nNeg","nTotal","propPos"
2004,0,109,109,0
2005,6,55,61,0.0983606557377049
2006,31,79,110,0.281818181818182
2007,53,40,93,0.56989247311828
2008,46,18,64,0.71875
2009,72,17,89,0.808988764044944
2010,105,14,119,0.882352941176471
2011,104,17,121,0.859504132231405
2012,100,15,115,0.869565217391304
2013,143,38,181,0.790055248618785
2014,85,44,129,0.65891472868217
2015,57,38,95,0.6
2017,88,11,99,0.888888888888889
