"year","nPos","nNeg","nTotal","propPos"
2008,3,44,47,0.0638297872340425
2009,18,19,37,0.486486486486487
2010,32,23,55,0.581818181818182
2011,53,8,61,0.868852459016393
2013,46,34,80,0.575
2014,41,43,84,0.488095238095238
2007,7,12,19,0.368421052631579
2015,31,28,59,0.525423728813559
2017,41,8,49,0.836734693877551
2006,0,20,20,0
2004,0,39,39,0
2005,0,44,44,0
2012,39,15,54,0.722222222222222
