"year","nPos","nNeg","nTotal","propPos"
2008,2,10,12,0.166666666666667
2010,7,20,27,0.259259259259259
2013,18,34,52,0.346153846153846
2014,11,21,32,0.34375
2006,1,16,17,0.0588235294117647
2004,0,18,18,0
2015,3,19,22,0.136363636363636
2017,8,12,20,0.4
2005,0,5,5,0
2011,2,19,21,0.0952380952380952
2012,2,14,16,0.125
