"year","nPos","nNeg","nTotal","propPos"
2008,0,14,14,0
2010,7,24,31,0.225806451612903
2013,6,26,32,0.1875
2011,3,23,26,0.115384615384615
2012,3,7,10,0.3
2014,23,11,34,0.676470588235294
