"year","nPos","nNeg","nTotal","propPos"
2010,30,8,38,0.789473684210526
2011,26,11,37,0.702702702702703
2013,20,35,55,0.363636363636364
2004,0,30,30,0
2017,1,0,1,1
2015,1,0,1,1
2007,0,15,15,0
2008,8,6,14,0.571428571428571
2009,14,11,25,0.56
2014,33,5,38,0.868421052631579
