"year","nPos","nNeg","nTotal","propPos"
2008,0,42,42,0
2010,4,32,36,0.111111111111111
2013,6,31,37,0.162162162162162
2014,12,55,67,0.17910447761194
2017,6,9,15,0.4
2004,0,28,28,0
2015,9,10,19,0.473684210526316
2007,0,21,21,0
2005,0,49,49,0
2009,0,9,9,0
2011,3,29,32,0.09375
2012,6,12,18,0.333333333333333
