"year","nPos","nNeg","nTotal","propPos"
2010,1,2,3,0.333333333333333
2006,0,40,40,0
2004,0,36,36,0
2013,9,17,26,0.346153846153846
2014,9,19,28,0.321428571428571
2008,0,12,12,0
