"year","nPos","nNeg","nTotal","propPos"
2008,2,21,23,0.0869565217391304
2010,12,46,58,0.206896551724138
2013,17,33,50,0.34
2014,30,40,70,0.428571428571429
2005,0,38,38,0
2017,29,22,51,0.568627450980392
2006,1,37,38,0.0263157894736842
2004,0,40,40,0
2015,11,30,41,0.268292682926829
2009,0,7,7,0
2011,15,51,66,0.227272727272727
2012,16,42,58,0.275862068965517
