"year","nPos","nNeg","nTotal","propPos"
2008,35,14,49,0.714285714285714
2009,47,15,62,0.758064516129032
2010,68,28,96,0.708333333333333
2011,69,18,87,0.793103448275862
2013,83,48,131,0.633587786259542
2004,0,82,82,0
2006,27,53,80,0.3375
2007,36,19,55,0.654545454545455
2005,4,32,36,0.111111111111111
2017,57,10,67,0.850746268656716
2015,26,27,53,0.490566037735849
2012,63,18,81,0.777777777777778
2014,56,44,100,0.56
