"year","nPos","nNeg","nTotal","propPos"
2008,2,55,57,0.0350877192982456
2010,4,61,65,0.0615384615384615
2013,25,31,56,0.446428571428571
2004,0,20,20,0
2011,21,40,61,0.344262295081967
2012,15,43,58,0.258620689655172
2014,41,19,60,0.683333333333333
