"year","nPos","nNeg","nTotal","propPos"
2008,0,29,29,0
2010,8,40,48,0.166666666666667
2013,10,26,36,0.277777777777778
2014,13,32,45,0.288888888888889
2004,0,46,46,0
2011,11,32,43,0.255813953488372
2012,8,28,36,0.222222222222222
