"POLY_ID","job","batch","prop","raster_year"
"NGA","job50","2021_03_29_batch_0",0,2033
"NGA","job510","2021_03_29_batch_0",0,2042
"NGA","job511","2021_03_29_batch_0",0,2045
"NGA","job519","2021_03_29_batch_0",0,2039
"NGA","job521","2021_03_29_batch_0",0,2037
"NGA","job533","2021_03_29_batch_0",0,2023
"NGA","job538","2021_03_29_batch_0",0,2045
"NGA","job541","2021_03_29_batch_0",0,2039
"NGA","job543","2021_03_29_batch_0",0,2026
"NGA","job544","2021_03_29_batch_0",0,2037
"NGA","job546","2021_03_29_batch_0",0,2042
"NGA","job553","2021_03_29_batch_0",0,2036
"NGA","job557","2021_03_29_batch_0",0,2035
"NGA","job560","2021_03_29_batch_0",0,2030
"NGA","job562","2021_03_29_batch_0",0,2039
"NGA","job564","2021_03_29_batch_0",0,2033
"NGA","job565","2021_03_29_batch_0",0,2036
"NGA","job566","2021_03_29_batch_0",0,2034
"NGA","job578","2021_03_29_batch_0",0,2024
"NGA","job579","2021_03_29_batch_0",0,2036
"NGA","job580","2021_03_29_batch_0",0,2031
"NGA","job581","2021_03_29_batch_0",0,2043
"NGA","job583","2021_03_29_batch_0",0,2045
"NGA","job591","2021_03_29_batch_0",0,2039
"NGA","job592","2021_03_29_batch_0",0,2027
"NGA","job594","2021_03_29_batch_0",0,2037
"NGA","job598","2021_03_29_batch_0",0,2041
"NGA","job599","2021_03_29_batch_0",0,2032
"NGA","job6","2021_03_29_batch_0",0,2044
"NGA","job607","2021_03_29_batch_0",0,2042
"NGA","job61","2021_03_29_batch_0",0,2033
"NGA","job611","2021_03_29_batch_0",0,2033
"NGA","job619","2021_03_29_batch_0",0,2034
"NGA","job622","2021_03_29_batch_0",0,2033
"NGA","job624","2021_03_29_batch_0",0,2032
"NGA","job633","2021_03_29_batch_0",0,2029
"NGA","job639","2021_03_29_batch_0",0,2031
"NGA","job644","2021_03_29_batch_0",0,2041
"NGA","job646","2021_03_29_batch_0",0,2040
"NGA","job650","2021_03_29_batch_0",0,2035
"NGA","job653","2021_03_29_batch_0",0,2045
"NGA","job655","2021_03_29_batch_0",0,2044
"NGA","job656","2021_03_29_batch_0",0,2028
"NGA","job661","2021_03_29_batch_0",0,2036
"NGA","job667","2021_03_29_batch_0",0,2032
"NGA","job669","2021_03_29_batch_0",0,2035
"NGA","job672","2021_03_29_batch_0",0,2040
"NGA","job683","2021_03_29_batch_0",0,2034
"NGA","job686","2021_03_29_batch_0",0,2045
"NGA","job69","2021_03_29_batch_0",0,2025
"NGA","job691","2021_03_29_batch_0",0,2042
"NGA","job713","2021_03_29_batch_0",0,2039
"NGA","job714","2021_03_29_batch_0",0,2032
"NGA","job716","2021_03_29_batch_0",0,2042
"NGA","job721","2021_03_29_batch_0",0,2034
"NGA","job725","2021_03_29_batch_0",0,2040
"NGA","job733","2021_03_29_batch_0",0,2030
"NGA","job743","2021_03_29_batch_0",0,2034
"NGA","job75","2021_03_29_batch_0",0,2035
"NGA","job750","2021_03_29_batch_0",0,2031
"NGA","job754","2021_03_29_batch_0",0,2034
"NGA","job756","2021_03_29_batch_0",0,2042
"NGA","job768","2021_03_29_batch_0",0,2045
"NGA","job774","2021_03_29_batch_0",0,2029
"NGA","job78","2021_03_29_batch_0",0,2044
"NGA","job795","2021_03_29_batch_0",0,2031
"NGA","job800","2021_03_29_batch_0",0,2029
"NGA","job808","2021_03_29_batch_0",0,2032
"NGA","job809","2021_03_29_batch_0",0,2025
"NGA","job821","2021_03_29_batch_0",0,2025
"NGA","job828","2021_03_29_batch_0",0,2027
"NGA","job833","2021_03_29_batch_0",0,2031
"NGA","job84","2021_03_29_batch_0",0,2035
"NGA","job848","2021_03_29_batch_0",0,2038
"NGA","job855","2021_03_29_batch_0",0,2028
"NGA","job865","2021_03_29_batch_0",0,2039
"NGA","job871","2021_03_29_batch_0",0,2034
"NGA","job874","2021_03_29_batch_0",0,2035
"NGA","job884","2021_03_29_batch_0",0,2031
"NGA","job891","2021_03_29_batch_0",0,2044
"NGA","job91","2021_03_29_batch_0",0,2027
"NGA","job95","2021_03_29_batch_0",0,2032
