"year","datetime","latitude","longitude","cbsd_foliar_bool","cbsd_stem_bool","cbsd_root_bool","cmd_foliar_bool","adult_whitefly_mean","num_plants_surveyed_any","num_plants_surveyed_whitefly","cbsd_any_bool","crnd_foliar_bool","crnd_stem_bool","crnd_root_bool","crnd_any_bool","cbsd_or_crnd_any_bool","country_code","data_source","merged_id"
2008,NA,-0.69796,30.15306,TRUE,NA,NA,FALSE,1.714285714,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_35"
2008,NA,-0.69781,30.14601,FALSE,NA,NA,TRUE,1.818181818,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_36"
2008,NA,-0.76184,30.18828,FALSE,NA,NA,TRUE,5.642857143,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_37"
2008,NA,1.45161,31.34041,FALSE,NA,NA,TRUE,0.533333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_38"
2008,NA,1.46381,31.3388,FALSE,NA,NA,FALSE,1.266666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_39"
2008,NA,1.47704,31.34008,FALSE,NA,NA,TRUE,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_40"
2008,NA,1.48832,31.13468,FALSE,NA,NA,FALSE,2.4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_41"
2008,NA,1.48834,31.13469,FALSE,NA,NA,TRUE,2.866666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_42"
2008,NA,1.54302,31.33848,FALSE,NA,NA,TRUE,13.86666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_43"
2008,NA,1.55904,31.31761,FALSE,NA,NA,TRUE,24.78571429,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_44"
2008,NA,1.56104,31.32236,FALSE,NA,NA,TRUE,1.333333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_45"
2008,NA,1.59284,31.31011,TRUE,NA,NA,FALSE,11.06666667,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_46"
2008,NA,1.5907,31.30893,FALSE,NA,NA,FALSE,1.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_47"
2008,NA,1.40384,31.37743,FALSE,NA,NA,TRUE,18.73333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_48"
2008,NA,1.40392,31.1377,FALSE,NA,NA,TRUE,74.66666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_49"
2008,NA,1.33123,31.37397,TRUE,NA,NA,FALSE,0.733333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_50"
2008,NA,1.4199,31.33529,FALSE,NA,NA,TRUE,20.8,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_51"
2008,NA,1.42282,31.13288,FALSE,NA,NA,FALSE,3.8,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_52"
2008,NA,1.4212,31.31799,FALSE,NA,NA,TRUE,3.066666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_53"
2008,NA,1.42461,31.32465,FALSE,NA,NA,TRUE,16.53333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_54"
2008,NA,1.41781,31.30679,FALSE,NA,NA,FALSE,48.13333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_55"
2008,NA,0.35816,30.19593,FALSE,NA,NA,FALSE,4.666666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_56"
2008,NA,0.36115,30.1869,TRUE,NA,NA,FALSE,6.266666667,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_57"
2008,NA,0.36955,30.17918,FALSE,NA,NA,TRUE,1.133333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_58"
2008,NA,0.38532,30.16307,FALSE,NA,NA,FALSE,3.133333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_59"
2008,NA,0.05413,29.9192,TRUE,NA,NA,FALSE,27.73333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_60"
2008,NA,0.07244,29.91801,TRUE,NA,NA,FALSE,9.733333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_61"
2008,NA,0.10243,29.93965,FALSE,NA,NA,FALSE,0.6,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_62"
2008,NA,0.0793,29.90487,TRUE,NA,NA,TRUE,6.714285714,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_63"
2008,NA,0.03842,29.85284,FALSE,NA,NA,FALSE,0.933333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_64"
2008,NA,0.072004,29.89141,TRUE,NA,NA,FALSE,45.53333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_65"
2008,NA,0.07013,29.8819,TRUE,NA,NA,TRUE,3.133333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_66"
2008,NA,0.08423,29.9151,TRUE,NA,NA,FALSE,2.866666667,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_67"
2008,NA,0.02307,29.84354,TRUE,NA,NA,TRUE,1.4,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_68"
2008,NA,0.01217,29.75671,TRUE,NA,NA,FALSE,0.666666667,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_69"
2008,NA,-0.00152,29.76335,FALSE,NA,NA,TRUE,0.928571429,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_70"
2008,NA,0.00429,29.74894,FALSE,NA,NA,TRUE,2.375,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_71"
2008,NA,0.03701,29.76831,TRUE,NA,NA,FALSE,4.133333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_72"
2008,NA,0.03533,29.7349,TRUE,NA,NA,FALSE,11.46666667,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_73"
2008,NA,0.78596,31.30954,FALSE,NA,NA,TRUE,2.066666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_74"
2008,NA,0.80118,31.33039,TRUE,NA,NA,FALSE,7.461538462,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_75"
2008,NA,0.81594,31.33514,FALSE,NA,NA,FALSE,1.428571429,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_76"
2008,NA,0.75543,31.32051,TRUE,NA,NA,FALSE,10.53333333,NA,NA,TRUE,NA,NA,NA,NA,TRUE,"UGA","uga_paper_data","merged_id_77"
2008,NA,0.77545,31.20762,FALSE,NA,NA,TRUE,21.78571429,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_78"
2008,NA,0.7716,31.22359,FALSE,NA,NA,FALSE,2.2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_79"
2008,NA,0.77793,31.25362,FALSE,NA,NA,TRUE,11.46666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_80"
2008,NA,1.18888,31.56455,FALSE,NA,NA,TRUE,12.5,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_81"
2008,NA,1.14736,31.57963,FALSE,NA,NA,TRUE,2.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_82"
2008,NA,1.14224,31.60286,FALSE,NA,NA,TRUE,2.333333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_83"
2008,NA,0.8938,31.77658,FALSE,NA,NA,FALSE,1.8,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_84"
2008,NA,0.87851,31.84216,FALSE,NA,NA,TRUE,3.2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_85"
2008,NA,3.44228,31.02188,FALSE,NA,NA,TRUE,1.066666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_86"
2008,NA,3.46325,31.04704,FALSE,NA,NA,TRUE,1.333333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_87"
2008,NA,3.44436,31.0349,FALSE,NA,NA,FALSE,0.466666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_88"
2008,NA,3.46591,31.05191,FALSE,NA,NA,TRUE,1.928571429,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_89"
2008,NA,3.4967,31.03273,FALSE,NA,NA,TRUE,0.266666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_90"
2008,NA,3.4857,31.01519,FALSE,NA,NA,TRUE,0.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_91"
2008,NA,3.53032,30.88935,FALSE,NA,NA,FALSE,1.066666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_92"
2008,NA,3.54609,30.89002,FALSE,NA,NA,TRUE,0.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_93"
2008,NA,3.43446,30.96141,FALSE,NA,NA,TRUE,0.466666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_94"
2008,NA,3.45363,30.95458,FALSE,NA,NA,TRUE,0.666666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_95"
2008,NA,3.46824,30.9445,FALSE,NA,NA,TRUE,1.625,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_96"
2008,NA,3.48349,30.95879,FALSE,NA,NA,FALSE,0.5,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_97"
2008,NA,3.38304,30.95599,FALSE,NA,NA,TRUE,1.4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_98"
2008,NA,3.36133,30.9556,FALSE,NA,NA,TRUE,1,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_99"
2008,NA,3.39277,30.97957,FALSE,NA,NA,TRUE,1.4,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_100"
2008,NA,3.394,31.00907,FALSE,NA,NA,TRUE,0.933333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_101"
2008,NA,3.38884,31.05854,FALSE,NA,NA,TRUE,0.866666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_102"
2008,NA,3.3992,31.07122,FALSE,NA,NA,FALSE,1.2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_103"
2008,NA,3.43384,31.05325,FALSE,NA,NA,TRUE,0.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_104"
2008,NA,3.41393,31.07963,FALSE,NA,NA,TRUE,4.466666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_105"
2008,NA,1.73291,31.79118,FALSE,NA,NA,TRUE,1.066666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_106"
2008,NA,1.76594,31.75213,FALSE,NA,NA,TRUE,0.8,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_107"
2008,NA,1.7644,31.78694,FALSE,NA,NA,TRUE,0.533333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_108"
2008,NA,1.76592,31.76036,FALSE,NA,NA,TRUE,9,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_109"
2008,NA,1.78151,31.85642,FALSE,NA,NA,TRUE,2.333333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_110"
2008,NA,1.7902,31.88352,FALSE,NA,NA,TRUE,2,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_111"
2008,NA,1.79745,31.89729,FALSE,NA,NA,FALSE,0.933333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_112"
2008,NA,1.79791,31.89905,FALSE,NA,NA,TRUE,0.466666667,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_113"
2008,NA,1.79036,31.93026,FALSE,NA,NA,TRUE,8.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_114"
2008,NA,1.78839,31.92869,FALSE,NA,NA,TRUE,0.714285714,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_115"
2008,NA,1.99203,31.94299,FALSE,NA,NA,TRUE,1.133333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_116"
2008,NA,1.87262,32.05993,FALSE,NA,NA,TRUE,4.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_117"
2008,NA,1.88887,32.07324,FALSE,NA,NA,TRUE,4.733333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_118"
2008,NA,1.91863,32.13924,FALSE,NA,NA,TRUE,2.6,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_119"
2008,NA,1.92333,32.13628,FALSE,NA,NA,TRUE,0.333333333,NA,NA,FALSE,NA,NA,NA,NA,FALSE,"UGA","uga_paper_data","merged_id_120"
