"POLY_ID","job","batch","prop","raster_year"
"mask_drc_central_big","job28","2021_03_26_batch_0",0,2016
"mask_drc_central_big","job28","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job28","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job28","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job29","2021_03_26_batch_0",0,2013
"mask_drc_central_big","job29","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job29","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job29","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job3","2021_03_26_batch_0",0,2012
"mask_drc_central_big","job3","2021_03_26_batch_0",0.25,2044
"mask_drc_central_big","job3","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job3","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job30","2021_03_26_batch_0",0,2016
"mask_drc_central_big","job30","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job30","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job30","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job31","2021_03_26_batch_0",0,2010
"mask_drc_central_big","job31","2021_03_26_batch_0",0.25,2019
"mask_drc_central_big","job31","2021_03_26_batch_0",0.5,2030
"mask_drc_central_big","job31","2021_03_26_batch_0",0.75,2043
"mask_drc_central_big","job32","2021_03_26_batch_0",0,2008
"mask_drc_central_big","job32","2021_03_26_batch_0",0.25,2022
"mask_drc_central_big","job32","2021_03_26_batch_0",0.5,2028
"mask_drc_central_big","job32","2021_03_26_batch_0",0.75,2037
"mask_drc_central_big","job33","2021_03_26_batch_0",0,2021
"mask_drc_central_big","job33","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job33","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job33","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job34","2021_03_26_batch_0",0,2013
"mask_drc_central_big","job34","2021_03_26_batch_0",0.25,2032
"mask_drc_central_big","job34","2021_03_26_batch_0",0.5,2036
"mask_drc_central_big","job34","2021_03_26_batch_0",0.75,2048
"mask_drc_central_big","job35","2021_03_26_batch_0",0,2016
"mask_drc_central_big","job35","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job35","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job35","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job36","2021_03_26_batch_0",0,2032
"mask_drc_central_big","job36","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job36","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job36","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job37","2021_03_26_batch_0",0,2018
"mask_drc_central_big","job37","2021_03_26_batch_0",0.25,2039
"mask_drc_central_big","job37","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job37","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job38","2021_03_26_batch_0",0,2044
"mask_drc_central_big","job38","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job38","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job38","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job39","2021_03_26_batch_0",0,2027
"mask_drc_central_big","job39","2021_03_26_batch_0",0.25,Inf
"mask_drc_central_big","job39","2021_03_26_batch_0",0.5,Inf
"mask_drc_central_big","job39","2021_03_26_batch_0",0.75,Inf
"mask_drc_central_big","job4","2021_03_26_batch_0",0,2011
"mask_drc_central_big","job4","2021_03_26_batch_0",0.25,2023
