"simKey","numFieldsInf","ngaBool","rank"
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3776-0",44384480.0388184,FALSE,63
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3136-0",44397038.3198242,FALSE,64
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9650-0",44424097.3613129,FALSE,65
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2562-0",44444439.3479838,FALSE,66
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9514-0",44449383.1850777,FALSE,67
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6114-0",44471160.0793457,FALSE,68
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job910-0",44474910.6591797,FALSE,69
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8547-0",44489345.7570801,FALSE,70
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2021-0",44492970.6904297,FALSE,71
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5933-0",44501171.4619141,FALSE,72
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job6993-0",44562508.6704102,FALSE,73
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2423-0",44572062.1119385,FALSE,74
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job5532-0",44604176.6862793,FALSE,75
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job1168-0",44624336.3955154,FALSE,76
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2628-0",44648971.7073975,FALSE,77
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2560-0",44691955.3029785,FALSE,78
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4539-0",44695219.7386475,FALSE,79
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job2861-0",44701747.3803748,FALSE,80
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job733-0",44714857.7304688,FALSE,81
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3080-0",44757187.9310706,FALSE,82
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3923-0",44778132.2964478,FALSE,83
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job3148-0",44781846.8352127,FALSE,84
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9313-0",44792405.5200195,FALSE,85
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8299-0",44835997.3497314,FALSE,86
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job4213-0",44857530.9264393,FALSE,87
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job9098-0",44876297.328125,FALSE,88
"2022_05_16_cross_continental_endemic-2022_05_16_batch_0-job8712-0",44896072.0692768,FALSE,89
